country,country_code,iso3_code,forest_area_kha,forest_carbon_stock_mt_c,naturally_regenerating_forest_kha,planted_forest_kha,primary_forest_kha,industrial_roundwood_m3,roundwood_m3,sawnwood_m3,wood_fuel_m3,wood_pellets_t,selected_food_crop_area_kha,selected_food_production_kt,food_production_intensity_index,forest_area_ha,forest_carbon_stock_mtco2e,carbon_stock_density_tco2e_per_ha,harvest_total_m3,harvest_intensity_m3_per_ha,wood_fuel_share,naturally_regenerating_share,planted_share,primary_forest_share,material_recovery_ratio,biodiversity_pressure_proxy,has_positive_forest_area,has_positive_baseline_harvest,forest_policy_eligible,selected_food_crop_area_ha,selected_food_crop_share_of_forest_area,forest_carbon_opportunity_cost_tco2e_per_m3
Greece,EL,GRC,4762.8,94.54,4592.67,170.13,,380967.0,1138022.0,101629.0,757055.0,72801.0,909.93,5556.79,1.000560668071046,4762800.0,346.6466666666667,72.78211696201114,1138022.0,0.23893969933652473,0.6652375788868756,0.9642794154698916,0.03572058453010834,,0.2667658878590534,0.23040463360877572,True,True,True,909930.0,0.19104938271604938,0.39305330028074054
Hungary,HU,HUN,2081.296,134.696,1291.776,789.52,0.0,3014582.0,5515720.0,379061.0,2501138.0,69355.0,2349.15,14360.14,0.999840609251997,2081295.9999999998,493.8853333333333,237.29701749935296,5515720.0,2.6501372221923267,0.4534563030755731,0.6206594352749442,0.37934056472505595,0.0,0.12574247441270464,1.6448326717269988,True,True,True,2349150.0,1.1286957741714778,0.5435126145703632
Ireland,IE,IRL,824.944,59.232,116.276,708.668,0.0,3654000.0,3890000.0,1014000.0,236000.0,37538.0,291.47,2503.9799999999996,1.0103377227797066,824944.0,217.184,263.271203863535,3890000.0,4.7154715956477045,0.060668380462724936,0.1409501735875405,0.8590498264124595,0.0,0.277504105090312,0.6646465399536605,True,True,True,291470.0,0.3533209526949708,0.6354658711966814
Italy,IT,ITA,9409.47,587.442,8784.598,624.872,91.888,4000000.0,14839000.0,1904606.0,10839000.0,433000.0,3390.73,29653.33,0.9993672050058003,9409470.0,2153.9539999999997,228.9134244542997,14839000.0,1.577028249200008,0.7304400566075882,0.9335911586943793,0.06640884130562083,0.009765480946323226,0.4761515,1.4722996304644038,True,True,True,3390730.0,0.3603529210465627,0.4973776390043358
Latvia,LV,LVA,3460.394,293.782,2901.108,559.286,17.394,11550000.0,16050000.0,2963696.0,4500000.0,2059000.0,882.5999999999999,3543.8999999999996,0.9968004422242738,3460394.0,1077.2006666666666,311.2942244919701,16050000.0,4.638200158710251,0.2803738317757009,0.8383750520894443,0.16162494791055584,0.005026595237420941,0.25659705627705626,3.888551299659975,True,True,True,882599.9999999999,0.2550576610640291,0.6477646428037808
Lithuania,LT,LTU,2213.51,188.596,1624.714,588.796,27.28,5531000.0,7655000.0,1632000.0,2124000.0,600000.0,1540.5900000000001,6729.17,0.9961291110581671,2213510.0,691.5186666666666,312.4081963337264,7655000.0,3.4583082976810586,0.2774657086871326,0.7339989428554647,0.26600105714453515,0.012324317486706633,0.2950641836919183,2.538394634566179,True,True,True,1540590.0000000002,0.6959941450456516,0.6003578517537786
Luxembourg,LU,LUX,88.7,9.04,58.7,30.0,,228586.0,279222.0,78330.0,50636.0,63000.0,28.45,170.2,1.000159390748003,88700.0,33.14666666666666,373.69409996242007,279222.0,3.1479368658399096,0.18134674201889536,0.6617812852311161,0.3382187147688839,,0.34267190466607755,2.083245704901947,True,True,True,28450.0,0.32074408117249154,0.6074807797652624
Malta,MT,MLT,0.468,0.0219,0.35,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.51,52.69,0.0,468.0,0.0803,171.5811965811966,0.0,0.0,,0.7478632478632478,0.25213675213675213,0.0,,0.0,True,False,False,510.0,1.0897435897435896,0.41511865723214614
Netherlands,NL,NLD,368.88,39.804,42.458,326.422,0.0,621548.0,2851240.0,137000.0,2229692.0,233000.0,406.52000000000004,12523.27,1.1491286224690105,368880.0,145.948,395.65170245066145,2851240.0,7.729451312079809,0.7820078281730054,0.1150997614400347,0.8849002385599654,0.0,0.2204174094357958,0.8896580020827493,True,True,True,406520.00000000006,1.1020386033398397,0.8000043082142332
Poland,PL,POL,9488.84,875.418,2087.54,7401.3,,36528000.0,42537000.0,4195000.0,6009000.0,1250000.0,7964.55,46646.73,1.0001785165898252,9488840.0,3209.866,338.2780192310124,42537000.0,4.482845110677385,0.14126525142816843,0.21999949414259276,0.7800005058574072,,0.11484340779675865,0.9862236566686199,True,True,True,7964550.0,0.8393597109868013,0.6501437860923689
Portugal,PT,PRT,3356.982,82.026,872.352,2484.622,24.774,11241265.0,14583381.0,967509.0,3342116.0,556000.0,297.84,4165.42,0.9848447330533466,3356982.0,300.762,89.59297368886696,14583381.0,4.3441939813797035,0.22917291950337168,0.25986198317417253,0.7401356337329184,0.007379842966092759,0.08606762673062152,1.1288908632946342,True,True,True,297840.0,0.08872254900383737,0.5646434216003848
Romania,RO,ROU,6951.514,1046.57,6231.348,720.166,71.08,9886420.0,16111500.0,3900000.0,6225080.0,381420.0,5362.459999999999,20225.08,0.9923033186994742,6951514.0,3837.4233333333327,552.0269876940955,16111500.0,2.3176965478311633,0.3863749495701828,0.8964015608686108,0.10359843913138922,0.01022511067373237,0.3944805096283589,2.0775868030956457,True,True,True,5362459.999999999,0.7714089333632931,0.6311583750180336
Slovakia,SK,SVK,1938.636,197.504,1163.178,775.458,10.58,8075397.0,8536133.0,1458036.0,460736.0,288371.0,697.56,4025.39,0.9994353593772517,1938636.0,724.1813333333332,373.55198878661764,8536133.0,4.403164389808092,0.05397479162988674,0.5999981430242708,0.4000018569757293,0.005457445337856101,0.18055285702981538,2.6418904573154514,True,True,True,697560.0,0.35981999715263724,0.6582495257854597
Slovenia,SI,SVN,1243.606,164.656,1175.102,68.504,108.27,3291201.0,4734601.0,1152000.0,1443400.0,172000.0,110.28,834.0900000000001,0.9966053087488413,1243606.0,603.7386666666666,485.4742311203602,4734601.0,3.8071551600748146,0.3048620147716777,0.944915029358173,0.055084970641827075,0.08706133614665738,0.3500242008920148,3.597438129853213,True,True,True,110280.0,0.08867760367833542,0.670075593362317
Spain,ES,ESP,19102.636,711.91,16286.798,2815.838,,15139419.0,18834013.0,2605744.0,3694594.0,800000.0,6465.610000000001,38261.030000000006,1.000603642883019,19102636.0,2610.3366666666666,136.6479823343054,18834013.0,0.9859379093021508,0.1961660534056125,0.8525942702357937,0.14740572976420638,,0.17211651252931173,0.8406050122792714,True,True,True,6465610.000000001,0.33846690058900775,0.44380968518013014
Sweden,SE,SWE,27934.0,1325.0,19289.2,8644.8,2096.0,64900000.0,70500000.0,17900000.0,5600000.0,1576000.0,1064.62,6567.03,1.0054476495329383,27934000.0,4858.333333333333,173.92186344001334,70500000.0,2.523806114412544,0.07943262411347518,0.6905276723705879,0.3094723276294122,0.07503400873487506,0.275808936825886,1.7427579616999516,True,True,True,1064620.0,0.03811197823440968,0.5180398481819913
