rank,country,scenario_label,value_eur_per_forest_ha,benefit_tco2e_per_forest_ha,marginal_climate_benefit_tco2e_per_changed_m3,delta_biodiversity_pressure_proxy
60,Hungary,Bioenergy Push,-9.680127659194385,-0.09680127659194385,-0.24351261457036294,0.24672490075904974
61,France,Bioenergy Push,-10.65906726593466,-0.10659067265934659,-0.26321834079330525,0.35135016995105994
62,Romania,Bioenergy Push,-11.512869338470107,-0.11512869338470107,-0.33115837501803347,0.3116380204643465
63,Croatia,Bioenergy Push,-12.446905852807005,-0.12446905852807004,-0.295685089226912,0.40488458624897383
64,Luxembourg,Bioenergy Push,-14.518951232404062,-0.14518951232404062,-0.30748077976526217,0.3124868557352922
65,Lithuania,Bioenergy Push,-15.580950764906229,-0.1558095076490623,-0.3003578517537782,0.38075919518492674
66,Portugal,Bioenergy Push,-17.244935389921853,-0.1724493538992185,-0.2646434216003849,0.16933362949419517
67,Estonia,Bioenergy Push,-18.17846069566436,-0.18178460695664359,-0.29797263436276333,0.54782417707953
68,Slovenia,Bioenergy Push,-21.134028073306407,-0.21134028073306405,-0.3700755933623169,0.5396157194779825
69,Poland,Bioenergy Push,-23.54460539277366,-0.2354460539277366,-0.35014378609236885,0.14793354850029317
70,Slovakia,Bioenergy Push,-23.6614733190625,-0.236614733190625,-0.3582495257854585,0.3962835685973176
71,Ireland,Bioenergy Push,-23.728196804057504,-0.23728196804057503,-0.3354658711966823,0.09969698099304913
72,Latvia,Bioenergy Push,-24.195030321694663,-0.2419503032169466,-0.347764642803781,0.5832826949489971
73,Austria,Bioenergy Push,-30.038360868833138,-0.3003836086883314,-0.3899977040214849,0.5102030116987994
74,Denmark,Bioenergy Push,-34.440613984578384,-0.34440613984578383,-0.3828169128407393,0.2961799125483786
75,Germany,Bioenergy Push,-39.985768489866,-0.39985768489865997,-0.4319152839746333,0.4628890198316573
76,Czechia,Bioenergy Push,-41.24054335918261,-0.41240543359182613,-0.4569138158166125,0.14186105120653614
77,Belgium,Bioenergy Push,-57.56838108414025,-0.5756838108414025,-0.4937287548497382,0.4230833824846032
78,Netherlands,Bioenergy Push,-57.97138434258102,-0.5797138434258101,-0.5000043082142339,0.1334487003124124
