nuts2_id,nuts2_name,country,selected_policy_label,best_forest_policy_label,food_vs_best_forest_margin_eur_per_ha_land,food_land_policy_value_eur_per_ha_land,best_forest_policy_value_eur_per_ha_land,agricultural_land_share_of_land,woodland_share_of_land,feed_land_share_of_agricultural_land,cropland_share_of_agricultural_land,food_production_intensity_index
DE40,Brandenburg,Germany,Food-Land Safeguard,Conservation Priority,0.4863369090102565,1.0708372410176619,0.5845003320074054,0.6280186791194129,0.2895930620413609,0.19173571276821755,0.8082642872317825,1.022280688841929
BE22,Prov. Limburg (BE),Belgium,Food-Land Safeguard,Conservation Priority,0.46963247117527773,1.0544546116822708,0.5848221405069931,0.5421286031042128,0.15354767184035475,0.3721881390593047,0.7167689161554193,1.071550987516729
EL54,Ipeiros,Greece,Food-Land Safeguard,Material Cascade,0.44369146107168966,0.49504969096847107,0.05135822989678143,0.22203262034207707,0.5934759315845867,0.7249329758713137,0.5264521894548704,1.000560668071046
EL53,Dytiki Makedonia,Greece,Food-Land Safeguard,Material Cascade,0.43510216941163016,0.48649302406160577,0.05139085464997564,0.22268740823048533,0.5938529306718521,0.6843090082865544,0.537022186581128,1.000560668071046
EL62,Ionia Nisia,Greece,Food-Land Safeguard,Material Cascade,0.4263888853840671,0.47722762624521575,0.05083874086114864,0.21509929035720676,0.5874729162939551,0.7096386655577118,0.44672396266518805,1.000560668071046
EL61,Thessalia,Greece,Food-Land Safeguard,Material Cascade,0.42031721358396135,0.47131077229303253,0.0509935587090712,0.2204663366927068,0.5892619317391218,0.6323144892254982,0.5242989811558921,1.000560668071046
ES61,Andalucía,Spain,Food-Land Safeguard,Material Cascade,0.3902353744266508,0.9453387574567035,0.5551033830300527,0.4530367477860679,0.425423610626874,0.5753424657534246,0.582268739418193,1.000603642883019
DE50,Bremen,Germany,Food-Land Safeguard,Conservation Priority,0.3757768865080844,0.9957411698952618,0.6199642833871775,0.5608324439701174,0.30716382070437565,0.24096098953377734,0.8079210275927687,1.022280688841929
EL64,Sterea Elláda,Greece,Food-Land Safeguard,Material Cascade,0.3752527456101783,0.4274586066208915,0.05220586101071325,0.19441703087551107,0.6032708303961652,0.6983321247280638,0.30166787527193617,1.000560668071046
EL65,Peloponnisos,Greece,Food-Land Safeguard,Material Cascade,0.3426200816019343,0.3952407589889888,0.0526206773870545,0.18553503454109685,0.6080642887353729,0.6299392097264438,0.3700607902735562,1.000560668071046
EL63,Dytiki Elláda,Greece,Food-Land Safeguard,Material Cascade,0.34186295865994076,0.394959454831622,0.05309649617168124,0.18750881150430002,0.6135626674185817,0.606015037593985,0.39398496240601505,1.000560668071046
ES53,Illes Balears,Spain,Food-Land Safeguard,Material Cascade,0.33609017841081423,0.8838303220637475,0.5477401436529332,0.45811918321989165,0.4197805250729268,0.42889630078835655,0.5711036992116434,1.000603642883019
EL41,Voreio Aigaio,Greece,Food-Land Safeguard,Material Cascade,0.3286480265195306,0.38967894889718135,0.06103092237765076,0.1549652118912081,0.7052498418722327,0.9959183673469387,0.4775510204081633,1.000560668071046
ES51,Cataluña,Spain,Food-Land Safeguard,Material Cascade,0.32563653488575517,0.8870611195862715,0.5614245847005164,0.46138352548965134,0.43026809279066536,0.4222489838928195,0.5777510161071805,1.000603642883019
ES52,Comunitat Valenciana ,Spain,Food-Land Safeguard,Material Cascade,0.27968200413743804,0.8603191815670116,0.5806371774295735,0.45554938185859145,0.4449923600500069,0.38816892819027293,0.6118310718097271,1.000603642883019
NL21,Overijssel,Netherlands,Food-Land Safeguard,Material Cascade,0.27202970560701134,1.5214982258999292,1.2494685202929179,0.6119733924611973,0.03991130820399113,0.8967391304347826,0.10326086956521739,1.1491286224690105
NL23,Flevoland,Netherlands,Food-Land Safeguard,Material Cascade,0.21401816845566257,1.4634866887485805,1.2494685202929179,0.5831485587583148,0.03991130820399113,0.9201520912547528,0.07984790874524715,1.1491286224690105
EL30,Attiki,Greece,Food-Land Safeguard,Material Cascade,0.21031600613102436,0.27867535824952533,0.06835935211850099,0.13858497447118892,0.7899343544857768,0.5105263157894737,0.48947368421052634,1.000560668071046
